Code_INSEE;Ville;Niveau_INSEE
1001;L'Abergement-Clémenciat;6
1002;L'Abergement-de-Varey;6
1004;Ambérieu-en-Bugey;2
1005;Ambérieux-en-Dombes;5
1006;Ambléon;6
1007;Ambronay;6
1008;Ambutrix;4
1009;Andert-et-Condon;6
1010;Anglefort;5
1011;Apremont;6
1012;Aranc;6
1013;Arandas;7
1014;Arbent;4
1015;Arboys en Bugey;6
1016;Arbigny;6
1017;Argis;6
1019;Armix;7
1021;Ars-sur-Formans;5
1022;Artemare;5
1023;Asnières-sur-Saône;6
1024;Attignat;5
1025;Bâgé-Dommartin;6
1026;Bâgé-le-Châtel;5
1027;Balan;5
1028;Baneins;6
1029;Beaupont;6
1030;Beauregard;4
1031;Bellignat;2
1032;Béligneux;5
1033;Valserhône;2
1034;Belley;3
1035;Belleydoux;6
1036;Valromey-sur-Séran;6
1037;Bénonces;6
1038;Bény;6
1040;Béréziat;6
1041;Bettant;4
1042;Bey;6
1043;Beynost;2
1044;Billiat;6
1045;Birieux;6
1046;Biziat;6
1047;Blyes;6
1049;La Boisse;4
1050;Boissey;6
1051;Bolozon;7
1052;Bouligneux;7
1053;Bourg-en-Bresse;2
1054;Bourg-Saint-Christophe;5
1056;Boyeux-Saint-Jérôme;6
1057;Boz;6
1058;Brégnier-Cordon;6
1060;Brénod;6
1061;Brens;6
1062;Bressolles;4
1063;Brion;3
1064;Briord;6
1065;Buellas;5
1066;La Burbanche;7
1067;Ceignes;6
1068;Cerdon;6
1069;Certines;5
1071;Cessy;4
1072;Ceyzériat;5
1073;Ceyzérieu;6
1074;Chalamont;5
1075;Chaleins;5
1076;Chaley;6
1077;Challes-la-Montagne;6
1078;Challex;3
1079;Champagne-en-Valromey;6
1080;Champdor-Corcelles;6
1081;Champfromier;6
1082;Chanay;6
1083;Chaneins;6
1084;Chanoz-Châtenay;6
1085;La Chapelle-du-Châtelard;6
1087;Charix;6
1088;Charnoz-sur-Ain;5
1089;Château-Gaillard;5
1090;Châtenay;6
1092;Châtillon-la-Palud;5
1093;Châtillon-sur-Chalaronne;5
1094;Chavannes-sur-Reyssouze;6
1095;Nivigne et Suran;6
1096;Chaveyriat;6
1098;Chazey-Bons;6
1099;Chazey-sur-Ain;6
1100;Cheignieu-la-Balme;6
1101;Chevillard;6
1102;Chevroux;6
1103;Chevry;4
1104;Chézery-Forens;6
1105;Civrieux;5
1106;Cize;6
1107;Cleyzieu;6
1108;Coligny;6
1109;Collonges;5
1110;Colomieu;6
1111;Conand;7
1112;Condamine;6
1113;Condeissiat;6
1114;Confort;6
1115;Confrançon;6
1116;Contrevoz;6
1117;Conzieu;6
1118;Corbonod;6
1121;Corlier;6
1123;Cormoranche-sur-Saône;6
1124;Cormoz;6
1125;Corveissiat;6
1127;Courmangoux;6
1128;Courtes;6
1129;Crans;7
1130;Bresse Vallons;6
1133;Cressin-Rochefort;6
1134;Crottet;5
1135;Crozet;4
1136;Cruzilles-lès-Mépillat;6
1138;Culoz-Béon;5
1139;Curciat-Dongalon;6
1140;Curtafond;6
1141;Cuzieu;6
1142;Dagneux;2
1143;Divonne-les-Bains;4
1145;Dompierre-sur-Veyle;6
1146;Dompierre-sur-Chalaronne;6
1147;Domsure;7
1148;Dortan;5
1149;Douvres;5
1150;Drom;6
1151;Druillat;6
1152;Échallon;6
1153;Échenevex;4
1155;Évosges;6
1156;Faramans;6
1157;Fareins;3
1158;Farges;5
1159;Feillens;5
1160;Ferney-Voltaire;2
1162;Flaxieu;6
1163;Foissiat;6
1165;Francheleins;6
1166;Frans;4
1167;Garnerans;6
1169;Genouilleux;4
1170;Béard-Géovreissiat;3
1171;Géovreisset;4
1173;Gex;2
1174;Giron;6
1175;Gorrevod;5
1177;Grand-Corent;6
1179;Grièges;5
1180;Grilly;6
1181;Groissiat;6
1183;Guéreins;4
1184;Hautecourt-Romanèche;6
1185;Plateau d'Hauteville;5
1187;Haut Valromey;6
1188;Illiat;6
1189;Injoux-Génissiat;6
1190;Innimond;6
1191;Izenave;6
1192;Izernore;5
1193;Izieu;6
1194;Jassans-Riottier;4
1195;Jasseron;5
1196;Jayat;6
1197;Journans;6
1198;Joyeux;7
1199;Jujurieux;5
1200;Labalme;6
1202;Lagnieu;3
1203;Laiz;5
1204;Le Poizat-Lalleyriat;6
1206;Lantenay;6
1207;Lapeyrouse;6
1208;Lavours;6
1209;Léaz;6
1210;Lélex;6
1211;Lent;5
1212;Lescheroux;6
1213;Leyment;6
1214;Leyssard;7
1215;Surjoux-Lhopital;7
1216;Lhuis;6
1219;Lompnas;6
1224;Loyettes;4
1225;Lurcy;6
1227;Magnieu;6
1228;Maillat;5
1229;Malafretaz;6
1230;Mantenay-Montlin;7
1231;Manziat;5
1232;Marboz;6
1233;Marchamp;6
1234;Marignieu;6
1235;Marlieux;5
1236;Marsonnas;6
1237;Martignat;5
1238;Massieux;4
1239;Massignieu-de-Rives;6
1240;Matafelon-Granges;6
1241;Meillonnas;6
1242;Mérignat;6
1243;Messimy-sur-Saône;5
1244;Meximieux;2
1245;Bohas-Meyriat-Rignat;6
1246;Mézériat;5
1247;Mijoux;6
1248;Mionnay;5
1249;Miribel;4
1250;Misérieux;4
1252;Mogneneins;6
1254;Montagnat;5
1255;Montagnieu;6
1257;Montanges;6
1258;Montceaux;5
1259;Montcet;6
1260;Le Montellier;7
1261;Monthieux;5
1262;Montluel;2
1263;Montmerle-sur-Saône;4
1264;Montracol;5
1265;Montréal-la-Cluse;3
1266;Montrevel-en-Bresse;5
1267;Nurieux-Volognat;6
1268;Murs-et-Gélignieux;7
1269;Nantua;5
1272;Neuville-les-Dames;5
1273;Neuville-sur-Ain;6
1274;Les Neyrolles;5
1275;Neyron;4
1276;Niévroz;5
1277;Nivollet-Montgriffon;7
1279;Oncieu;6
1280;Ordonnaz;6
1281;Ornex;4
1282;Outriaz;6
1283;Oyonnax;2
1284;Ozan;6
1285;Parcieux;4
1286;Parves et Nattages;6
1288;Péron;5
1289;Péronnas;4
1290;Pérouges;6
1291;Perrex;6
1293;Peyriat;6
1294;Peyrieu;6
1295;Peyzieux-sur-Saône;6
1296;Pirajoux;6
1297;Pizay;6
1298;Plagne;6
1299;Le Plantay;6
1301;Polliat;5
1302;Pollieu;6
1303;Poncin;5
1304;Pont-d'Ain;5
1305;Pont-de-Vaux;5
1306;Pont-de-Veyle;5
1307;Port;3
1308;Pougny;5
1309;Pouillat;7
1310;Prémeyzel;6
1311;Prémillieu;7
1313;Prévessin-Moëns;4
1314;Priay;6
1317;Ramasse;6
1318;Rancé;6
1319;Relevant;6
1320;Replonges;5
1321;Revonnas;6
1322;Reyrieux;4
1323;Reyssouze;5
1325;Rignieux-le-Franc;5
1328;Romans;6
1329;Rossillon;6
1331;Saint-Alban;6
1332;Saint-André-de-Bâgé;5
1333;Saint-André-de-Corcy;5
1334;Saint-André-d'Huiriat;6
1335;Saint-André-le-Bouchoux;6
1336;Saint-André-sur-Vieux-Jonc;6
1337;Saint-Bénigne;6
1338;Groslée-Saint-Benoit;6
1339;Saint-Bernard;4
1342;Sainte-Croix;6
1343;Saint-Cyr-sur-Menthon;6
1344;Saint-Denis-lès-Bourg;2
1345;Saint-Denis-en-Bugey;4
1346;Saint-Didier-d'Aussiat;6
1347;Saint-Didier-de-Formans;4
1348;Saint-Didier-sur-Chalaronne;5
1349;Saint-Éloi;6
1350;Saint-Étienne-du-Bois;6
1351;Saint-Étienne-sur-Chalaronne;5
1352;Saint-Étienne-sur-Reyssouze;6
1353;Sainte-Euphémie;4
1354;Saint-Genis-Pouilly;2
1355;Saint-Genis-sur-Menthon;6
1356;Saint-Georges-sur-Renon;6
1357;Saint-Germain-de-Joux;6
1358;Saint-Germain-les-Paroisses;6
1359;Saint-Germain-sur-Renon;6
1360;Saint-Jean-de-Gonville;4
1361;Saint-Jean-de-Niost;5
1362;Saint-Jean-de-Thurigneux;6
1363;Saint-Jean-le-Vieux;5
1364;Saint-Jean-sur-Reyssouze;7
1365;Saint-Jean-sur-Veyle;6
1366;Sainte-Julie;5
1367;Saint-Julien-sur-Reyssouze;6
1368;Saint-Julien-sur-Veyle;6
1369;Saint-Just;4
1370;Saint-Laurent-sur-Saône;2
1371;Saint-Marcel;5
1372;Saint-Martin-de-Bavel;6
1373;Saint-Martin-du-Frêne;5
